Feature,Importance
ram,0.4382266503533538
performance_score,0.08250978510729472
battery_power,0.042443613338667856
px_width,0.037695609900203694
battery_efficiency,0.0365820642079479
screen_area,0.035837610045161734
px_height,0.03146191498521178
battery_per_talk,0.024604275444925657
clock_speed,0.022078154844957468
pixel_density,0.022004605432621553
memory_weight_ratio,0.020760450613195026
mobile_wt,0.020399106286784128
n_cores,0.01987262466715225
screen_size,0.017676266209534833
int_memory,0.017550247349882038
talk_time,0.014975467985185816
sc_h,0.013987329187408255
avg_camera_mp,0.01382255013073203
pc,0.012750421203297523
total_camera_mp,0.012701260963019923
m_dep,0.012657883660473107
sc_w,0.012505562144411501
fc,0.011703661647187563
feature_count,0.008396394470995733
four_g,0.0031773925951028826
touch_screen,0.003098066876866244
dual_sim,0.0029165516679825164
wifi,0.0027866114929683983
blue,0.002574450384927523
three_g,0.002243416802546856
